"latitude","longitude","name","desc","color","source","precision"
49.2622452,-123.0780716,"1250 Broadway St. W., Vancouver, BC, Canada","1250 E Broadway, Vancouver, BC V5T 1Y7, Canada",NA,"Bing Maps","address"
49.2839584,-123.137001,"1450 Davie St., Vancouver, BC, Canada","1450 Davie St, Vancouver, BC V6G, Canada",NA,"Bing Maps","address"
49.2831306,-123.1356964,"1350 Davie St., Vancouver, BC, Canada","1350 Davie St, Vancouver, BC V6E 1N6, Canada",NA,"Bing Maps","address"
49.2856026,-123.1395493,"1650 Davie St., Vancouver, BC, Canada","1650 Davie St, Vancouver, BC V6G 1V9, Canada",NA,"Bing Maps","address"
49.2904892,-123.1366577,"850 Denman St., Vancouver, BC, Canada","850 Denman St, Vancouver, BC V6G 2L8, Canada",NA,"Bing Maps","address"
49.2631531,-123.1189194,"650 Broadway St. E., Vancouver, BC, Canada","650 W Broadway, Vancouver, BC V5Z 1G1, Canada",NA,"Bing Maps","address"
49.2898521,-123.133194,"1650 Robson St., Vancouver, BC, Canada","1650 Robson St, Vancouver, BC V6G 1C7, Canada",NA,"Bing Maps","address"
49.2873497,-123.1293106,"1350 Robson St., Vancouver, BC, Canada","1350 Robson St, Vancouver, BC V6E 1C5, Canada",NA,"Bing Maps","address"
49.263485,-123.1399689,"1550 Broadway St. E., Vancouver, BC, Canada","1550 W Broadway, Vancouver, BC V6J 5K9, Canada",NA,"Bing Maps","address"
49.2783432,-123.1299362,"1250 Burrard St., Vancouver, BC, Canada","1250 Burrard St, Vancouver, BC V6Z 1Z1, Canada",NA,"Bing Maps","address"
49.2612648,-123.0709457,"1650 10th Ave E., Vancouver, BC, Canada","1650 E 10th Ave, Vancouver, BC V5N 1X5, Canada",NA,"Bing Maps","address"
49.2857513,-123.1201019,"1050 Dunsmuir St., Vancouver, BC, Canada","1050 Dunsmuir St, Vancouver, BC V6E, Canada",NA,"Bing Maps","address"
49.2810364,-123.0626144,"2050 Hastings St. E., Vancouver, BC, Canada","2050 E Hastings St, Vancouver, BC V5L 1T8, Canada",NA,"Bing Maps","address"
49.2849808,-123.1156006,"750 Pender St. W., Vancouver, BC, Canada","750 W Pender St, Vancouver, BC V6C 2T7, Canada",NA,"Bing Maps","address"
49.2425117,-123.059845,"2250 Kingsway, Vancouver, BC, Canada","2250 Kingsway, Vancouver, BC V5N 2T7, Canada",NA,"Bing Maps","address"
49.2850037,-123.1239395,"750 Thurlow St., Vancouver, BC, Canada","750 Thurlow St, Vancouver, BC V6E 1V8, Canada",NA,"Bing Maps","address"
49.260704,-123.1423187,"1650 12th Ave W., Vancouver, BC, Canada","1650 W 12th Ave, Vancouver, BC V6J 2E4, Canada",NA,"Bing Maps","address"
49.2838097,-123.1238556,"1050 Robson St., Vancouver, BC, Canada","1050 Robson St, Vancouver, BC V6E 1A7, Canada",NA,"Bing Maps","address"
